"gene_symbol" "FPKM" "count"
"FBXO3" 20.96 1029
"LOC101928440" 0 0
"LMO2" 13.4868 448
"CAPRIN1" 40.3629 4951
"NAT10" 13.495 1214
"ABTB2" 2.03389 227
"CAT" 53.6328 2672
"ELF5" 4.18411 204
"EHF" 111.796 13914
"APIP" 6.97029 178
"PDHX" 10.3427 607
"MIR1343" 0 0
"LOC100507144" 0.186032 4
"CD44" 152.987 19080
"SLC1A2" 0.287157 78
"PAMR1" 3.92849 269
"FJX1" 2.55904 151
"TRIM44" 10.1861 1000
"LDLRAD3" 4.97713 327
"MIR3973" 0 0
"COMMD9" 11.6379 766
"PRR5L" 0.81494 68
"TRAF6" 2.58432 474
"RAG1" 0.138691 21
"RAG2" 0 0
"C11orf74" 6.55072 101
"LOC103312105" 0 0
"LOC101928536" 0 0
"LRRC4C" 0.102713 7
"LOC100507205" 0 0
"HNRNPKP3" 1.178 47
"API5" 35.1619 2909
"TTC17" 6.81049 698
"MIR670" 0 0
"MIR129-2" 0 0
"HSD17B12" 30.8434 1716
"ALKBH3" 11.2417 365
"SEC14L1P1" 0.24877 14
"ALKBH3-AS1" 0 0
"C11orf96" 2.65445 71
"ACCSL" 0.104095 4
"ACCS" 1.55806 65
"EXT2" 21.9509 1736
"ALX4" 0.216047 27
"CD82" 75.4435 2666
"TSPAN18" 3.84422 368
"TP53I11" 5.75407 454
"LOC221122" 0.0812637 2
"PRDM11" 0.659989 147
"SYT13" 0.119007 14
"LOC101928812" 0 0
"CHST1" 0.63099 56
"MIR7154" 0 0
"LOC100507384" 0 0
"DKFZp779M0652" 0 0
"SLC35C1" 5.27817 406
"CRY2" 7.2769 677
"MAPK8IP1" 0.701237 50
"C11orf94" 0.251967 1
"PEX16" 9.73216 390
"GYLTL1B" 5.25054 289
"PHF21A" 3.30928 557
"LOC101928894" 0.0575661 1
"CREB3L1" 3.94609 235
"DGKZ" 14.739 1194
"MIR4688" 0 0
"MDK" 13.0952 209
"CHRM4" 0.166274 5
"AMBRA1" 7.60101 881
"MIR3160-1" 0 0
"MIR3160-2" 0 0
"HARBI1" 3.22142 101
"ATG13" 17.0524 2272
"ARHGAP1" 38.1443 2938
"ZNF408" 4.70974 237
"F2" 0 0
"CKAP5" 13.4673 2082
"MIR5582" 0 0
"SNORD67" 10.2778 1
"LRP4-AS1" 0.251731 8
"LRP4" 5.45899 1001
"C11orf49" 12.4593 449
"ARFGAP2" 35.3354 2352
"PACSIN3" 16.4432 663
"MIR6745" 0 0
"DDB2" 22.972 899
"ACP2" 9.34388 443
"NR1H3" 4.30414 155
"MADD" 10.2159 1358
"LOC101928943" 0 0
"MYBPC3" 0 0
"SPI1" 17.0632 488
"SLC39A13" 10.0979 533
"PSMC3" 80.0198 2619
"RAPSN" 0.0651699 2
"CELF1" 11.7061 1459
"PTPMT1" 7.51142 431
"NDUFS3" 62.6511 1127
"KBTBD4" 11.9828 218
"FAM180B" 2.87438 82
"C1QTNF4" 0.416826 12
"MTCH2" 34.3714 1979
"AGBL2" 0.0621021 5
"FNBP4" 6.31246 585
"NUP160" 10.9022 1338
"PTPRJ" 3.79702 659
"OR4B1" 0 0
"OR4X2" 0 0
"OR4X1" 0 0
"OR4S1" 0 0
"OR4C3" 0 0
"OR4C45" 0 0
"OR4A47" 0 0
"TRIM49B" 0 0
"TRIM64C" 0 0
"FOLH1" 1.28228 73
"LOC440040" 0 0
"OR4C13" 0 0
"OR4C12" 0 0
"LOC441601" 3.15771 61
"LOC646813" 0.931995 9
"OR4A5" 0 0
"OR4C46" 0 0
"TRIM48" 0 0
"TRIM51HP" 0 0
"OR4A16" 0 0
"OR4A15" 0 0
"OR4C15" 0 0
"OR4C16" 0 0
"OR4C11" 0 0
"OR4P4" 0 0
"OR4S2" 0 0
"OR4C6" 0 0
"OR5D13" 0 0
"OR5D14" 0 0
"OR5L1" 0 0
"OR5D18" 0 0
"OR5L2" 0 0
"OR5D16" 0 0
"TRIM51" 0.0590929 2
"OR5W2" 0 0
"OR5I1" 0 0
"OR10AG1" 0 0
"OR7E5P" 0.129082 5
"OR5F1" 0 0
"OR5AS1" 0 0
"OR8I2" 0 0
"OR8H2" 0 0
"OR8H3" 0 0
"OR8J3" 0 0
"OR8K5" 0 0
"OR5J2" 0 0
"OR5T2" 0 0
"OR5T3" 0 0
"OR5T1" 0 0
"OR8H1" 0 0
"OR8K3" 0 0
"OR8K1" 0 0
"OR8J1" 0 0
"OR8U8" 0 0
"OR8U1" 0 0
"OR5R1" 0 0
"OR5M9" 0 0
"OR5M3" 0 0
"OR5M8" 0 0
"OR5M11" 0 0
"OR5M10" 0 0
"OR5M1" 0 0
"OR5AP2" 0 0
"OR5AR1" 0 0
"OR9G9" 0 0
"OR9G4" 0 0
"MIR6128" 0 0
"LOC101927120" 0 0
"OR5AK2" 0 0
"OR5AK4P" 0 0
"LRRC55" 0.712135 88
"APLNR" 3.49423 296
"TNKS1BP1" 37.0682 4943
"SSRP1" 51.2875 3185
"P2RX3" 0 0
"PRG3" 0 0
"PRG2" 1.60596 25
"SLC43A3" 13.8122 799
"RTN4RL2" 1.27292 61
"SLC43A1" 4.22292 223
"TIMM10" 32.7887 367
"SMTNL1" 0.0872924 3
"UBE2L6" 99.6392 2523
"SERPING1" 140.281 5417
"MIR130A" 0 0
"YPEL4" 0.664818 24
"CLP1" 10.0062 383
"ZDHHC5" 39.1914 4055
"MED19" 6.77091 211
"TMX2" 40.4136 1264
"TMX2-CTNND1" 0.00352116 0
"CTNND1" 68.0059 262
"C11orf31" 22.9756 596
"BTBD18" 0.0295964 2
"OR9Q1" 0 0
"OR6Q1" 0 0
"OR9I1" 0 0
"OR9Q2" 0 0
"OR1S2" 0 0
"OR1S1" 0 0
"OR10Q1" 0 0
"OR10W1" 0 0
"OR5B17" 0 0
"OR5B3" 0 0
"OR5B2" 0 0
"OR5B12" 0 0
"OR5B21" 0 0
"LPXN" 5.19167 208
"ZFP91" 23.0197 2267
"ZFP91-CNTF" 6.58166e-23 0
"CNTF" 0.747027 0
"GLYAT" 0.323242 8
"GLYATL2" 1.18134 33
"GLYATL1" 0.467057 21
"LOC283194" 0.01754 1
"FAM111B" 4.37662 346
"LOC101927204" 1.15372 56
"FAM111A" 5.0254 409
"DTX4" 2.52293 335
"MPEG1" 24.148 2466
"OR5AN1" 0 0
"OR5A2" 0 0
"OR5A1" 0 0
"OR4D6" 0 0
"OR4D10" 0 0
"OR4D11" 0 0
"OR4D9" 0 0
"OSBP" 19.9946 2316
"MIR3162" 0 0
"PATL1" 12.2011 1137
"OR10V1" 0.0578031 1
"OR10V2P" 0 0
"STX3" 4.4625 664
"MRPL16" 17.0519 396
"GIF" 0 0
"TCN1" 63.1076 2046
"OOSP2" 0 0
"MS4A3" 0.183991 5
"MS4A2" 1.20911 98
"MS4A6A" 26.3954 852
"MS4A4A" 5.05908 177
"MIR6503" 0 0
"MS4A6E" 1.65273 18
"MS4A7" 4.20995 276
"MS4A14" 0.203848 15
"MS4A5" 0 0
"MS4A1" 0.296322 23
"MS4A12" 0 0
"MS4A13" 0 0
"LINC00301" 0 0
"MS4A8" 0 0
"MS4A15" 0 0
"MS4A10" 1.02563 51
"CCDC86" 12.0079 517
"PTGDR2" 1.11975 41
"ZP1" 0.11895 5
"PRPF19" 53.6343 2723
"TMEM109" 41.2837 2143
"TMEM132A" 1.62625 128
"SLC15A3" 6.19855 270
"CD6" 3.94162 289
"CD5" 5.701 400
"VPS37C" 13.1754 778
"PGA3" 0.556227 16
"PGA4" 0.660519 19
"PGA5" 0.486698 14
"VWCE" 0.252654 20
"DDB1" 56.3351 5555
"CYB561A3" 33.9476 2061
"DAK" 5.4122 519
"TMEM138" 10.5886 313
"TMEM216" 6.52064 169
"CPSF7" 18.9377 1523
"SDHAF2" 21.2746 514
"PPP1R32" 0.197804 6
"MIR4488" 0 0
"LRRC10B" 0.0835116 4
"SYT7" 0.648654 93
"LOC101927495" 0 0
"RPLP0P2" 5.55144 438
"DAGLA" 0.515527 68
"MYRF" 0.87389 115
"DKFZP434K028" 0 0
"TMEM258" 151.569 754
"MIR611" 0 0
"FEN1" 10.7895 536
"FADS1" 7.02992 704
"FADS2" 41.9915 2982
"MIR1908" 0 0
"FADS3" 2.19661 83
"MIR6746" 0 0
"RAB3IL1" 3.39458 175
"BEST1" 0.610478 37
"FTH1" 413.566 10073
"INCENP" 6.06261 567
"SCGB1D1" 0 0
"SCGB2A1" 0 0
"SCGB1D2" 25.7945 145
"SCGB2A2" 74.6321 540
"SCGB1D4" 0 0
"ASRGL1" 0.688737 35
"SCGB1A1" 0 0
"AHNAK" 129.204 45477
"EEF1G" 1452.11 45551
"MIR3654" 0.00161177 0
"MIR6747" 0 0
"TUT1" 4.46184 278
"MTA2" 44.613 3037
"EML3" 13.9607 1009
"ROM1" 1.85915 74
"B3GAT3" 7.49154 272
"GANAB" 56.0552 4882
"INTS5" 8.86593 649
"LOC102288414" 40.374 33
"C11orf48" 1.20732 19
"C11orf83" 6.48002 254
"METTL12" 0.998951 28
"SNORA57" 18.806 5
"UBXN1" 66.025 1532
"LRRN4CL" 3.62284 205
"BSCL2" 5.3071 41
"HNRNPUL2-BSCL2" 26.6175 0
"HNRNPUL2" 28.0212 1532
"GNG3" 0.0561842 0
"TTC9C" 7.18739 160
"ZBTB3" 1.91433 126
"POLR2G" 52.2774 789
"TAF6L" 7.41819 335
"TMEM179B" 35.2309 702
"TMEM223" 9.56128 164
"MIR6748" 46.4355 1
"NXF1" 16.3298 1056
"MIR6514" 0 0
"STX5" 21.4662 832
"WDR74" 17.9595 496
"SNHG1" 18.8395 406
"SNORD22" 66.7581 10
"SNORD31" 161.33 3
"SNORD30" 97.4525 2
"SNORD29" 125.485 2
"SNORD28" 192.862 5
"SNORD27" 0 0
"SNORD26" 0 0
"SNORD25" 169.692 3
"SLC3A2" 63.2331 2649
"CHRM1" 0.658795 41
"SLC22A6" 0 0
"SLC22A8" 0 0
"SLC22A24" 0 0
"SLC22A25" 0 0
"MIR3680-1" 0 0
"SLC22A10" 0 0
"SLC22A9" 0.339931 17
"HRASLS5" 0.219263 15
"LGALS12" 0.10991 4
"RARRES3" 16.4382 220
"HRASLS2" 0 0
"PLA2G16" 6.55612 152
"ATL3" 18.773 3126
"RTN3" 81.7496 4655
"C11orf95" 1.69112 216
"C11orf84" 2.2263 93
"MARK2" 15.7283 1616
"RCOR2" 0.157794 9
"NAA40" 2.62054 195
"COX8A" 306.644 2226
"OTUB1" 41.8222 2086
"MACROD1" 5.30679 132
"FLRT1" 0.0414941 3
"STIP1" 41.6585 1977
"FERMT3" 8.87711 493
"TRPT1" 14.3037 248
"NUDT22" 21.8189 426
"DNAJC4" 13.7988 354
"VEGFB" 20.1065 749
"FKBP2" 53.8667 586
"PPP1R14B" 90.1188 1681
"PLCB3" 7.27182 954
"BAD" 37.5474 687
"GPR137" 8.98336 353
"KCNK4" 0.104742 4
"TEX40" 1.00893 13
"ESRRA" 18.5388 910
"TRMT112" 63.3226 1590
"PRDX5" 132.794 2181
"CCDC88B" 1.94622 218
"MIR7155" 0 0
"RPS6KA4" 30.1231 2096
"MIR1237" 0 0
"LOC100996455" 0.215056 11
"SLC22A11" 0 0
"SLC22A12" 0 0
"NRXN2" 0.252682 31
"RASGRP2" 2.47373 122
"PYGM" 0.187524 15
"SF1" 40.2471 2771
"MAP4K2" 3.87038 252
"MEN1" 10.0673 615
"CDC42BPG" 9.47867 1064
"EHD1" 25.1671 1904
"MIR192" 0 0
"MIR194-2" 0 0
"ATG2A" 11.3513 1663
"MIR6750" 0 0
"MIR6749" 0 0
"PPP2R5B" 6.16508 373
"GPHA2" 0 0
"C11orf85" 0.0664669 1
"BATF2" 4.64992 214
"ARL2" 54.4547 536
"ARL2-SNX15" 1.83966e-20 0
"SNX15" 11.3699 0
"MIR6879" 0 0
"SAC3D1" 4.96595 161
"NAALADL1" 0.813468 47
"CDCA5" 5.41051 305
"ZFPL1" 13.5114 380
"TMEM262" 0 0
"VPS51" 39.2639 2383
"TM7SF2" 56.7067 1876
"ZNHIT2" 9.96614 259
"FAU" 772.423 6853
"SYVN1" 12.8968 858
"MRPL49" 33.3977 1501
"MIR6751" 0 0
"SPDYC" 0 0
"CAPN1" 113.104 7639
"SLC22A20" 0.13716 5
"POLA2" 6.2012 335
"CDC42EP2" 3.93109 170
"DPF2" 12.6809 701
"TIGD3" 0.143225 6
"SLC25A45" 2.0951 117
"FRMD8" 32.3985 2730
"NEAT1" 33.3559 2798
"MIR612" 14.6322 1
"MALAT1" 10.7228 2165
"SCYL1" 20.9821 1208
"LTBP3" 9.8369 1022
"SSSCA1-AS1" 0.678922 16
"SSSCA1" 25.0265 269
"FAM89B" 25.2751 743
"EHBP1L1" 10.3568 1222
"KCNK7" 48.9492 1296
"MAP3K11" 15.3802 1231
"PCNXL3" 7.92276 1192
"MIR4690" 0 0
"SIPA1" 5.66841 444
"MIR4489" 0 0
"RELA" 33.2975 1821
"KAT5" 14.3845 600
"RNASEH2C" 9.42398 247
"AP5B1" 9.198 1396
"OVOL1" 34.2152 2291
"OVOL1-AS1" 2.45775 20
"SNX32" 0.392195 14
"CFL1" 490.938 12302
"MUS81" 4.59823 239
"EFEMP2" 12.3171 528
"CTSW" 1.65461 43
"FIBP" 32.5056 950
"CCDC85B" 16.2247 397
"FOSL1" 5.28458 184
"C11orf68" 12.6337 406
"DRAP1" 71.5393 1363
"TSGA10IP" 0.0552562 2
"SART1" 13.3825 1080
"EIF1AD" 7.94638 503
"BANF1" 53.2902 1180
"CST6" 284.181 2751
"CATSPER1" 0.31363 18
"GAL3ST3" 0.0135076 1
"SF3B2" 53.379 3412
"PACS1" 13.4771 1373
"KLC2" 5.23146 333
"RAB1B" 98.1963 4088
"CNIH2" 1.34136 37
"YIF1A" 30.3656 661
"TMEM151A" 0.0180898 1
"CD248" 22.8977 1281
"RIN1" 12.7088 748
"BRMS1" 34.5654 1008
"B3GNT1" 7.37139 327
"SLC29A2" 0.80111 43
"NPAS4" 0.013586 1
"MRPL11" 18.314 602
"PELI3" 3.10034 182
"DPP3" 12.5118 855
"BBS1" 5.02531 378
"ZDHHC24" 8.8347 234
"ACTN3" 0.0153845 1
"CTSF" 17.9172 771
"CCDC87" 0.0620938 4
"CCS" 14.8063 292
"RBM14" 5.32483 617
"RBM14-RBM4" 3.99342 6
"RBM4" 41.6843 671
"RBM4B" 11.1795 309
"SPTBN2" 28.8461 5248
"C11orf80" 7.5518 349
"RCE1" 9.09724 274
"PC" 3.46738 314
"LRFN4" 2.7158 150
"C11orf86" 0 0
"SYT12" 2.36715 187
"MIR6860" 0 0
"RHOD" 32.4611 718
"KDM2A" 20.7502 2958
"ADRBK1" 39.8177 3064
"ANKRD13D" 8.65823 399
"SSH3" 16.2574 1031
"LOC100130987" 1.68819 26
"POLD4" 18.8688 668
"CLCF1" 0.333789 13
"RAD9A" 3.47477 156
"PPP1CA" 99.0429 2719
"TBC1D10C" 4.2614 158
"CARNS1" 0.270264 24
"RPS6KB2" 83.1913 3091
"PTPRCAP" 18.8013 315
"CORO1B" 31.8272 1290
"GPR152" 0 0
"CABP4" 0.617771 56
"TMEM134" 62.4474 1092
"AIP" 20.741 507
"MIR6752" 0 0
"PITPNM1" 4.46941 427
"CDK2AP2" 19.268 478
"CABP2" 0 0
"GSTP1" 488.456 8775
"NDUFV1" 54.364 1843
"DOC2GP" 0.180949 1
"NUDT8" 26.3264 341
"TBX10" 0 0
"ACY3" 0.0766785 2
"ALDH3B2" 162.83 9276
"FAM86C2P" 1.80422 71
"UNC93B1" 10.9701 552
"ALDH3B1" 9.27322 544
"NDUFS8" 55.3489 791
"MIR7113" 0 0
"MIR4691" 25.2985 1
"TCIRG1" 5.92621 340
"MIR6753" 0 0
"CHKA" 1.45683 87
"SUV420H1" 11.1089 961
"C11orf24" 9.75171 440
"LRP5" 5.07285 597
"PPP6R3" 15.3208 1762
"GAL" 12.562 172
"MTL5" 0.614813 46
"CPT1A" 5.76234 691
"MRPL21" 41.4653 489
"IGHMBP2" 3.71569 331
"MRGPRD" 0 0
"MRGPRF" 9.11391 448
"LOC101928200" 0.0308218 1
"TPCN2" 3.2743 375
"LOC338694" 0 0
"MYEOV" 0.181775 9
"LOC101928292" 0 0
"CCND1" 29.1651 2830
"ORAOV1" 4.12979 227
"FGF19" 0 0
"FGF4" 0 0
"FGF3" 0 0
"LOC101928443" 0 0
"ANO1-AS2" 0 0
"ANO1" 15.939 1660
"FADD" 14.9198 585
"PPFIA1" 7.38821 885
"MIR548K" 0 0
"CTTN" 48.9494 3377
"SHANK2" 0.150603 34
"SHANK2-AS1" 0.225961 11
"SHANK2-AS3" 0.426447 15
"MIR3664" 0 0
"FLJ42102" 0.58009 27
"DHCR7" 31.4186 1833
"NADSYN1" 14.0626 744
"MIR6754" 0 0
"KRTAP5-7" 0.604576 10
"KRTAP5-8" 1.02979 24
"KRTAP5-9" 0 0
"KRTAP5-10" 0.68835 14
"KRTAP5-11" 0.719416 14
"FAM86C1" 2.01311 91
"ALG1L9P" 1.02371 31
"ZNF705E" 0.0130031 1
"DEFB108B" 0 0
"LOC100133315" 0.565031 14
"LOC100129216" 0 0
"RNF121" 6.04174 349
"IL18BP" 6.83763 196
"LOC100128494" 16.3733 21
"LRTOMT" 2.12298 114
"NUMA1" 31.049 3817
"ANAPC15" 24.2811 119
"MIR3165" 0 0
"LAMTOR1" 67.8566 1575
"FOLR3" 0.523476 8
"FOLR1" 0.509716 9
"FOLR2" 16.2598 358
"INPPL1" 4.92786 528
"PHOX2A" 0 0
"CLPB" 2.19135 155
"PDE2A" 3.59489 340
"MIR139" 0 0
"ARAP1" 13.3835 1510
"STARD10" 22.0445 934
"MIR4692" 0 0
"ATG16L2" 4.42123 203
"FCHSD2" 5.68734 579
"P2RY2" 4.31181 861
"P2RY6" 1.67191 92
"ARHGEF17" 1.46111 264
"RELT" 1.76842 136
"FAM168A" 4.94897 823
"PLEKHB1" 0.8819 39
"RAB6A" 56.5737 3969
"MRPL48" 12.5494 232
"COA4" 30.1492 440
"PAAF1" 8.93946 295
"DNAJB13" 0.151012 6
"UCP2" 22.5099 772
"UCP3" 0.229696 12
"C2CD3" 1.71034 314
"PPME1" 17.2247 1027
"P4HA3" 0.181273 9
"LOC101928580" 0.258477 12
"PGM2L1" 1.01515 200
"KCNE3" 0.954507 65
"LIPT2" 1.49898 27
"POLD3" 5.80262 499
"CHRDL2" 0.0575905 2
"MIR4696" 0 0
"RNF169" 2.78574 504
"XRRA1" 2.04612 43
"SPCS2" 27.7119 1649
"NEU3" 1.00902 61
"OR2AT4" 0 0
"SLCO2B1" 7.44945 714
"TPBGL" 0.145893 9
"ARRB1" 8.83734 1532
"MIR326" 0 0
"RPS3" 857.149 24726
"SNORD15A" 0 0
"SNORD15B" 8.06503 2
"KLHL35" 0.291069 12
"GDPD5" 1.30373 92
"SERPINH1" 37.8283 1869
"MAP6" 0.78967 51
"MOGAT2" 0.157229 3
"LOC283214" 0 0
"DGAT2" 77.2487 4118
"UVRAG" 4.5481 537
"WNT11" 2.48986 102
"PRKRIR" 14.6026 1036
"LOC100506127" 0.375789 46
"C11orf30" 2.27704 287
"LRRC32" 4.11201 391
"GUCY2EP" 0 0
"TSKU" 29.3286 1740
"LOC101928837" 1.42662 4
"ACER3" 3.22061 320
"B3GNT6" 0.305167 17
"CAPN5" 2.26287 225
"OMP" 0 0
"MYO7A" 0.194764 33
"GDPD4" 0 0
"PAK1" 10.637 816
"AQP11" 0.172671 8
"CLNS1A" 45.2621 1259
"RSF1" 4.52636 530
"AAMDC" 14.7468 105
"INTS4" 4.45885 312
"KCTD14" 1.71922e-64 0
"NDUFC2-KCTD14" 1.65142 4
"NDUFC2" 24.2607 415
"THRSP" 12.4815 290
"RNU6-83P" 0 0
"ALG8" 10.5098 369
"KCTD21-AS1" 1.30974 11
"KCTD21" 3.51416 222
"USP35" 1.0148 99
"GAB2" 3.30167 462
"LOC101928865" 0.0877774 3
"NARS2" 4.53328 221
"LOC101928896" 0.0816722 0
"TENM4" 1.0353 328
"MIR708" 0 0
"MIR5579" 0 0
"MIR4300" 0 0
"FAM181B" 0.456858 18
"PRCP" 74.6931 3445
"C11orf82" 2.38094 190
"RAB30" 2.66436 611
"SNORA70E" 0 0
"RAB30-AS1" 2.76795 31
"PCF11" 9.80381 1326
"ANKRD42" 1.46326 81
"CCDC90B" 7.09579 655
"DLG2" 3.38061 491
"TMEM126B" 21.2661 481
"TMEM126A" 24.0372 346
"CREBZF" 3.72823 649
"CCDC89" 0.378368 20
"SYTL2" 3.10671 204
"CCDC83" 0 0
"PICALM" 49.3084 4406
"EED" 7.01327 303
"MIR6755" 0 0
"C11orf73" 23.4097 515
"CCDC81" 0.0547143 3
"ME3" 1.05322 48
"PRSS23" 9.77535 836
"OR7E2P" 0.716793 14
"FZD4" 1.88593 322
"LOC100506368" 0.0836021 2
"TMEM135" 1.40749 296
"RAB38" 62.8495 1878
"CTSC" 82.0349 3661
"GRM5-AS1" 0 0
"GRM5" 0 0
"TYR" 17.1783 760
"NOX4" 0.397648 37
"FOLH1B" 0.546553 23
"TRIM77" 0 0
"TRIM49" 0 0
"MIR5692A1" 0 0
"TRIM53AP" 0 0
"TRIM64B" 0 0
"TRIM49D2P" 0 0
"TRIM49D1" 0 0
"TRIM64" 0 0
"TRIM49C" 0 0
"UBTFL1" 0.0429518 1
"NAALAD2" 0.506408 36
"CHORDC1" 3.98279 301
"DISC1FP1" 0 0
"MIR4490" 0 0
"FAT3" 0.0581201 26
"MTNR1B" 0.057677 2
"SLC36A4" 3.37044 466
"CCDC67" 0.0683666 4
"SMCO4" 11.4872 211
"KIAA1731" 1.04744 195
"SCARNA9" 0.552464 2
"SNORA25" 22.7782 4
"SNORA32" 68.9822 9
"SNORD6" 0 0
"SNORA1" 11.9995 2
"SNORA8" 19.086 4
"SNORD5" 84.5278 2
"SNORA18" 34.1673 6
"MIR1304" 0 0
"SNORA40" 77.976 12
"TAF1D" 13.2098 348
"C11orf54" 8.28276 468
"MED17" 5.7392 449
"VSTM5" 0 0
"HEPHL1" 24.5375 3349
"PANX1" 8.60013 524
"FOLR4" 0 0
"GPR83" 0.175497 17
"MRE11A" 3.15318 370
"ANKRD49" 6.20611 251
"C11orf97" 0 0
"FUT4" 0.814193 113
"PIWIL4" 0.224845 16
"AMOTL1" 14.8489 3101
"CWC15" 28.4263 927
"KDM4D" 0.273674 18
"KDM4E" 0.019706 1
"SRSF8" 15.6125 1530
"ENDOD1" 24.1879 2579
"LOC101929295" 0.48849 20
"SESN3" 7.90424 1734
"LOC100129203" 0.071857 3
"FAM76B" 4.22422 376
"CEP57" 10.6705 755
"MTMR2" 8.0482 856
"MAML2" 2.77404 455
"MIR1260B" 21.6712 0
"CCDC82" 4.0315 242
"JRKL" 2.83682 208
"JRKL-AS1" 0.0942845 1
"CNTN5" 0 0
"ARHGAP42" 1.26823 137
"TMEM133" 1.34926 53
"PGR" 0.156681 41
"LOC101054525" 0 0
"TRPC6" 1.9293 202
"MIR3920" 0 0
"ANGPTL5" 1.76924 91
"KIAA1377" 0.873967 142
"C11orf70" 1.84687 51
"YAP1" 38.3323 4456
"BIRC3" 5.96815 871
"BIRC2" 13.2977 1016
"TMEM123" 141.544 11385
"MMP7" 7.75711 169
"MMP20" 0 0
"MMP27" 2.73894 94
"MMP8" 0.0442702 3
"MMP10" 0.0270428 1
"WTAPP1" 0.0690388 4
"MMP1" 1.2726 53
"MMP3" 0.233063 9
"MMP12" 2.18837 87
"MMP13" 0.0167319 1
"DCUN1D5" 1.83561 545
"DYNC2H1" 0.915901 293
"MIR4693" 0 0
"PDGFD" 3.48994 313
"DDI1" 0 0
"CASP12" 0.368952 10
"LOC643733" 3.44504 34
"CASP4" 62.6602 1664
"CASP5" 2.898 57
"CASP1" 33.3726 1030
"CARD16" 16.2006 199
"CARD17" 7.47693 47
"CARD18" 62.4366 679
"GRIA4" 0.138167 15
"MSANTD4" 2.75372 254
"KBTBD3" 0.86643 82
"AASDHPPT" 14.619 915
"LOC101928535" 0.217039 8
"GUCY1A2" 0.468234 177
"CWF19L2" 5.24233 383
"ALKBH8" 2.82245 259
"ELMOD1" 15.7674 1037
"LOC643923" 1.85822 34
"SLN" 0 0
"SLC35F2" 12.3879 873
"RAB39A" 0.319793 12
"CUL5" 8.62194 1266
"ACAT1" 18.0907 830
"NPAT" 3.93744 536
"ATM" 2.26815 697
"C11orf65" 0.405164 8
"KDELC2" 11.2653 1099
"EXPH5" 7.1972 1706
"DDX10" 4.59403 334
"C11orf87" 0.0440681 6
"ZC3H12C" 5.17429 1057
"RDX" 11.7992 1196
"FDX1" 5.63355 395
"ARHGAP20" 0.192232 26
"C11orf53" 0 0
"COLCA1" 0.143134 18
"COLCA2" 0.473808 12
"MIR4491" 0 0
"POU2AF1" 0.580597 39
"LOC100132078" 0.0706304 4
"BTG4" 0 0
"MIR34B" 0 0
"MIR34C" 0 0
"C11orf88" 0.0709442 1
"LAYN" 1.27368 77
"SIK2" 3.90754 508
"PPP2R1B" 9.1504 879
"ALG9" 3.85974 548
"FDXACB1" 2.24968 152
"C11orf1" 11.4774 210
"CRYAB" 38.0783 681
"HSPB2" 7.0947 95
"HSPB2-C11orf52" 0.136654 1
"C11orf52" 3.58755 0
"DIXDC1" 2.48822 316
"DLAT" 12.1459 1195
"PIH1D2" 1.69105 15
"C11orf57" 10.08 756
"TIMM8B" 55.6055 826
"SDHD" 95.2812 2667
"IL18" 122.704 2749
"TEX12" 0.0446829 1
"BCO2" 0.86015 53
"PTS" 15.8666 276
"PLET1" 0 0
"LOC101928823" 0 0
"LOC387810" 0 0
"LOC101928847" 0.291909 12
"NCAM1-AS1" 0.164621 0
"NCAM1" 0.673909 90
"TTC12" 3.50763 176
"ANKK1" 1.60105 89
"DRD2" 0.0174696 1
"MIR4301" 0 0
"TMPRSS5" 0.0976376 4
"ZW10" 11.196 730
"CLDN25" 0 0
"USP28" 3.59399 378
"HTR3B" 0.374621 15
"HTR3A" 3.18967 147
"ZBTB16" 1.32596 66
"NNMT" 18.0834 591
"LOC101928940" 0.185696 16
"C11orf71" 7.19017 270
"RBM7" 10.0227 844
"REXO2" 62.9621 1433
"NXPE1" 0 0
"NXPE4" 0 0
"NXPE2" 0 0
"CADM1" 8.31123 810
"LINC00900" 2.72349 131
"BUD13" 7.54423 353
"ZPR1" 13.6524 510
"APOA5" 0.0246635 1
"APOA4" 0 0
"APOC3" 0 0
"APOA1" 0.242178 4
"SIK3" 7.02985 986
"PAFAH1B2" 22.0206 2068
"SIDT2" 13.099 1144
"LOC100652768" 4.68618 8
"TAGLN" 47.8955 1096
"PCSK7" 12.0809 1065
"RNF214" 3.88451 231
"BACE1-AS" 1.62897 12
"BACE1" 8.5124 1069
"CEP164" 3.35797 430
"DSCAML1" 0.0628977 10
"FXYD2" 0.971636 1
"FXYD6-FXYD2" 0.222747 0
"FXYD6" 5.56599 172
"TMPRSS13" 35.5259 2583
"IL10RA" 10.6486 886
"TMPRSS4-AS1" 0 0
"TMPRSS4" 8.31322 654
"SCN4B" 4.27003 434
"SCN2B" 0.23202 26
"AMICA1" 15.6912 641
"MPZL3" 32.3003 2772
"MPZL2" 60.8362 3721
"CD3E" 14.5798 454
"CD3D" 16.3521 205
"CD3G" 4.32735 114
"UBE4A" 11.4846 1610
"LOC100131626" 2.25342 1
"ATP5L" 91.8872 2481
"KMT2A" 3.22945 1256
"TTC36" 0.440837 5
"TMEM25" 2.90252 133
"IFT46" 11.1535 409
"ARCN1" 31.6914 2859
"PHLDB1" 4.58623 557
"MIR6716" 31.0266 1
"TREH" 0 0
"DDX6" 27.5368 3899
"CXCR5" 0.141518 9
